Country,Value
Paraguay,93
Philippines,26
Honduras,23
Brazil,40
China,81
France,58
Brazil,54
China,44
China,70
Czech Republic,57
Afghanistan,21
Brazil,14
Honduras,25
Azerbaijan,30
Russia,15
Japan,55
United States,1
Sweden,52
China,44
China,39
Poland,84
Brazil,41
Indonesia,80
China,48
Laos,12
Sweden,76
Nicaragua,3
Peru,70
Russia,26
Israel,10
Syria,77
Japan,9
Russia,81
Macedonia,3
Cuba,89
Indonesia,28
Venezuela,6
China,49
China,17
Indonesia,92
China,98
Bosnia and Herzegovina,59
Palestinian Territory,28
China,50
Japan,31
Pakistan,37
Macedonia,91
Thailand,57
Palestinian Territory,26
China,67
Bangladesh,45
South Africa,15
Greece,12
Canada,46
China,87
China,8
China,24
Nigeria,92
Sweden,1
Mexico,49
Kosovo,73
Canada,14
Russia,12
Peru,7
China,64
Hungary,77
Peru,82
Philippines,80
Portugal,53
Paraguay,16
Indonesia,39
Bangladesh,55
Georgia,53
Russia,30
Germany,44
Mozambique,8
Thailand,52
China,41
Malta,56
Gambia,31
Brazil,46
China,3
Indonesia,5
Syria,75
Indonesia,66
Brazil,14
China,87
Japan,69
Thailand,34
China,80
Mexico,1
Czech Republic,51
China,3
Indonesia,1
Central African Republic,42
Vietnam,93
Russia,43
Philippines,28
Philippines,71
Poland,76
France,62
France,60
Philippines,79
Qatar,74
Guatemala,15
Greenland,83
Russia,5
France,17
France,35
Mexico,81
Indonesia,16
Indonesia,80
Portugal,48
Sweden,42
United Kingdom,88
Philippines,14
Philippines,57
United States,13
Mexico,100
Colombia,70
United States,52
Ukraine,98
United States,58
Peru,84
China,70
Belarus,16
Czech Republic,64
Russia,61
Indonesia,52
Malaysia,31
China,20
China,55
China,46
New Zealand,99
Thailand,2
Russia,6
China,38
Peru,3
Indonesia,43
Argentina,5
Croatia,18
Ukraine,40
Paraguay,49
China,100
Sweden,73
France,99
Brazil,30
Russia,13
Sweden,73
China,86
Argentina,89
Colombia,96
China,24
Panama,66
China,18
United States,44
Brazil,71
Portugal,88
Bulgaria,82
China,69
Kyrgyzstan,33
Russia,75
China,37
Kenya,79
Morocco,38
China,7
Poland,22
Russia,80
Turkmenistan,77
Iran,43
Philippines,26
Indonesia,16
Czech Republic,65
Indonesia,43
Indonesia,77
Thailand,52
Bangladesh,81
Venezuela,25
Thailand,43
China,88
Belarus,8
Indonesia,95
Portugal,14
China,2
Russia,57
Vietnam,82
Japan,31
Colombia,94
Japan,26
Czech Republic,72
Indonesia,55
Philippines,29
China,34
China,27
Canada,12
Czech Republic,55
Greece,49
Greece,70
China,3
China,43
China,52
China,83
Indonesia,100
Brazil,60
Philippines,82
Italy,41
Gambia,74
United States,78
China,90
Venezuela,65
Cuba,39
Kyrgyzstan,96
Finland,60
Portugal,42
Spain,82
Uruguay,65
Russia,5
Latvia,93
Portugal,6
Norway,30
Syria,9
Brazil,93
France,45
United States,21
Japan,18
North Korea,25
Finland,67
Somalia,45
United Kingdom,24
Russia,16
Sweden,21
Brazil,19
Serbia,34
Afghanistan,23
Venezuela,50
Kazakhstan,18
Portugal,28
Russia,60
Nigeria,18
China,15
China,6
Poland,51
China,79
Portugal,55
Philippines,46
China,16
Russia,94
China,43
Czech Republic,25
China,68
South Africa,35
Serbia,70
Czech Republic,71
Uganda,27
China,95
Brazil,100
Bolivia,100
China,31
Russia,96
China,70
Indonesia,56
Albania,83
China,78
Japan,82
Dominican Republic,33
Russia,96
Argentina,89
United States,31
China,36
Greece,2
Poland,63
Honduras,91
France,19
Croatia,59
Cameroon,69
Philippines,76
Russia,17
China,76
Indonesia,92
China,91
Germany,81
Norway,14
Portugal,31
Nigeria,35
Colombia,37
Portugal,6
France,58
China,45
Ukraine,85
Russia,17
Indonesia,45
Indonesia,56
Republic of the Congo,83
Philippines,69
Thailand,57
China,93
Portugal,45
Philippines,13
Morocco,66
China,9
China,4
China,89
Brazil,74
Dominican Republic,65
Brazil,32
Indonesia,49
Bosnia and Herzegovina,42
Canada,11
Zambia,14
China,53
China,33
Comoros,94
Thailand,82
China,71
Benin,71
China,89
Indonesia,32
Japan,20
Colombia,47
Brazil,45
Paraguay,92
Portugal,11
Philippines,87
China,47
China,92
Philippines,64
Brazil,19
South Africa,41
China,51
Malaysia,69
Zimbabwe,91
Tanzania,32
Spain,75
Albania,68
Indonesia,73
France,61
Panama,75
Pakistan,88
Russia,58
China,97
Philippines,15
Philippines,11
Portugal,5
Philippines,25
Sweden,97
Zambia,79
Libya,66
Sweden,36
Sweden,13
Thailand,71
Malaysia,68
Philippines,78
Ireland,53
Iran,70
France,53
China,4
Madagascar,27
Philippines,23
Japan,40
Pakistan,20
China,98
China,48
Philippines,54
China,45
China,81
United States,25
China,11
China,55
Russia,18
Italy,35
Tunisia,49
Spain,33
Poland,56
South Africa,45
Poland,49
Poland,60
Russia,63
Finland,64
Indonesia,28
Indonesia,42
China,20
Malaysia,67
China,92
Indonesia,21
China,47
China,75
Philippines,86
China,47
China,74
Colombia,64
Uganda,61
Indonesia,8
Indonesia,33
Russia,56
Indonesia,78
Portugal,71
Indonesia,69
Russia,69
China,3
Brazil,94
Macedonia,80
China,27
Canada,75
Morocco,89
Philippines,98
Kuwait,45
Vietnam,15
China,25
Russia,18
Brazil,9
Kenya,50
United States,95
Indonesia,39
Portugal,96
Thailand,38
Serbia,41
China,37
Colombia,20
Iran,5
Portugal,25
Lithuania,53
Georgia,100
China,67
Poland,50
Indonesia,46
Poland,54
China,17
United States,64
Dominican Republic,78
Sweden,60
Morocco,24
China,92
United States,85
Philippines,53
Kosovo,44
Portugal,41
France,35
Russia,95
United States,54
Mexico,71
Belarus,42
Greece,90
Germany,41
Syria,6
Argentina,73
Indonesia,15
Colombia,91
Portugal,39
China,18
South Africa,25
China,59
Palestinian Territory,24
Poland,94
Colombia,53
Peru,39
Indonesia,63
Colombia,46
Netherlands,21
Panama,7
Russia,93
China,98
Indonesia,58
Portugal,100
China,70
Indonesia,35
Philippines,71
Russia,74
Sweden,20
Poland,92
China,44
Kyrgyzstan,33
Panama,94
Indonesia,67
Denmark,46
United States,76
Sweden,30
Brazil,86
China,59
Guam,11
United Kingdom,86
China,84
Russia,5
Vietnam,78
Philippines,78
China,98
China,58
China,88
Sweden,85
Canada,66
China,27
Colombia,61
China,16
South Africa,100
Ukraine,42
Portugal,42
China,21
Portugal,54
Israel,77
Bosnia and Herzegovina,19
China,76
Poland,41
Portugal,36
Spain,34
Sweden,25
China,40
Japan,2
China,69
Canada,48
Thailand,76
Japan,4
Brazil,37
China,83
China,43
Morocco,24
Colombia,29
Indonesia,46
Colombia,15
Philippines,11
Afghanistan,25
Indonesia,24
Russia,28
France,100
China,25
China,69
Czech Republic,97
United States,33
Philippines,83
Philippines,19
France,27
Philippines,19
Ukraine,97
Indonesia,15
Sweden,97
Bosnia and Herzegovina,40
China,79
Palestinian Territory,45
Mongolia,75
Sweden,22
Bulgaria,89
Philippines,98
Brazil,94
China,27
Burundi,84
China,33
Finland,66
China,46
China,70
Peru,15
Indonesia,58
Portugal,17
Russia,56
Indonesia,9
Isle of Man,85
Indonesia,8
Kazakhstan,13
North Korea,56
China,96
China,3
Tanzania,9
Brazil,2
Poland,66
Nigeria,95
China,73
China,7
Russia,71
Indonesia,76
Russia,28
